50,176
50,243
50,310
50,378
50,446
40,516
40,584
40,650
40,718
75,176
75,243
75,310
75,378
75,446
75,515
75,583
75,650
75,718
75,785
75,852
75,920
72,176
72,243
72,310
72,378
72,446
72,515
72,583
72,650
72,718
72,785
73,176
73,243
73,310
73,378
73,446
105,513
105,582
105,650
73,176
73,243
73,310
73,378
73,446
73,515
73,583
73,176
73,243
73,311
73,378
73,446
73,515
73,583
73,650
73,718
73,785
73,852
73,920
73,176
73,243
73,310
73,378
73,446
73,650
73,718
73,785
73,852
73,920
73,176
73,243
73,310
73,378
73,446
73,515
73,176
73,243
73,310
73,378
73,446
73,515
73,583
73,650
73,718
73,785
