[2024-04-22 15:50:19,170]: [Main.py]: <module>: 11:       INFO:    [Started]
[2024-04-22 15:50:29,165]: [Iron_Scraper.py]: Scrap: 35:       INFO:    [Data Scaraped Successfully]
[2024-04-22 15:50:29,359]: [Iron_Scraper.py]: Scrap: 73:       INFO:    [Scrapped Data Has No Problem]
[2024-04-22 15:50:29,359]: [Iron_Scraper.py]: Scrap: 86:       INFO:    [Data Saved Successfully]
[2024-04-22 15:50:29,359]: [Iron.py]: Run: 26:       INFO:    [Scraping Phase Completed]
[2024-04-22 15:50:29,359]: [Iron_Data_Processor.py]: Data_Reader: 67:       INFO:    [Data File Has Been Red Successfully]
[2024-04-22 15:50:29,359]: [Iron_Data_Processor.py]: Shaper: 84:       INFO:    [Data Shaped]
[2024-04-22 15:50:29,360]: [Iron_Data_Processor.py]: Process: 232:       INFO:    [Data Cleaned]
[2024-04-22 15:50:29,360]: [Iron_Data_Processor.py]: Make_Pages_Objects: 107:       INFO:    [Page Objects Has Been Made]
[2024-04-22 15:50:29,360]: [Iron_Data_Processor.py]: Make_Pages_Objects: 107:       INFO:    [Page Objects Has Been Made]
[2024-04-22 15:50:29,360]: [Iron_Data_Processor.py]: Load_Data: 124:       INFO:    [Data Has Been Load]
[2024-04-22 15:50:29,360]: [Iron_Data_Processor.py]: Load_Data: 124:       INFO:    [Data Has Been Load]
[2024-04-22 15:50:29,360]: [Iron_Data_Processor.py]: Load_positions: 147:       INFO:    [Positions Are Ready]
[2024-04-22 15:50:29,360]: [Iron_Data_Processor.py]: Load_positions: 147:       INFO:    [Positions Are Ready]
[2024-04-22 15:50:29,380]: [Iron_Data_Processor.py]: Make_Tagged_Images: 195:       WARNING:    [file path:Outputs/Iron/Images/Currency_Gold/1-Tir_Ahan.png]
[2024-04-22 15:50:29,582]: [Iron_Data_Processor.py]: Make_Tagged_Images: 195:       WARNING:    [file path:Outputs/Iron/Images/Currency_Gold/2-Milgerd.png]
[2024-04-22 15:50:29,746]: [Iron_Data_Processor.py]: Make_Tagged_Images: 195:       WARNING:    [file path:Outputs/Iron/Images/Currency_Gold/3-Profill.png]
[2024-04-22 15:50:29,926]: [Iron_Data_Processor.py]: Make_Tagged_Images: 195:       WARNING:    [file path:Outputs/Iron/Images/Currency_Gold/4-Nawdani.png]
[2024-04-22 15:50:30,131]: [Iron_Data_Processor.py]: Make_Tagged_Images: 195:       WARNING:    [file path:Outputs/Iron/Images/Currency_Gold/5-Nabshi.png]
[2024-04-22 15:50:30,348]: [Iron_Data_Processor.py]: Make_Tagged_Images: 195:       WARNING:    [file path:Outputs/Iron/Images/Currency_Gold/6-Waraq_Siah.png]
[2024-04-22 15:50:30,510]: [Iron_Data_Processor.py]: Make_Tagged_Images: 195:       WARNING:    [file path:Outputs/Iron/Images/Currency_Gold/7-Tasme_Maftoul.png]
[2024-04-22 15:50:30,678]: [Iron_Data_Processor.py]: Make_Tagged_Images: 195:       WARNING:    [file path:Outputs/Iron/Images/Currency_Gold/8-Khamoot.png]
[2024-04-22 15:50:30,902]: [Iron_Data_Processor.py]: Make_Tagged_Images: 195:       WARNING:    [file path:Outputs/Iron/Images/Currency_Gold/9-Waraq_Galwanize.png]
[2024-04-22 15:50:31,087]: [Iron_Data_Processor.py]: Make_Tagged_Images: 195:       WARNING:    [file path:Outputs/Iron/Images/Akhbar_Eghtesadi/1-Tir_Ahan.png]
[2024-04-22 15:50:31,273]: [Iron_Data_Processor.py]: Make_Tagged_Images: 195:       WARNING:    [file path:Outputs/Iron/Images/Akhbar_Eghtesadi/2-Milgerd.png]
[2024-04-22 15:50:31,445]: [Iron_Data_Processor.py]: Make_Tagged_Images: 195:       WARNING:    [file path:Outputs/Iron/Images/Akhbar_Eghtesadi/3-Profill.png]
[2024-04-22 15:50:31,599]: [Iron_Data_Processor.py]: Make_Tagged_Images: 195:       WARNING:    [file path:Outputs/Iron/Images/Akhbar_Eghtesadi/4-Nawdani.png]
[2024-04-22 15:50:31,770]: [Iron_Data_Processor.py]: Make_Tagged_Images: 195:       WARNING:    [file path:Outputs/Iron/Images/Akhbar_Eghtesadi/5-Nabshi.png]
[2024-04-22 15:50:31,948]: [Iron_Data_Processor.py]: Make_Tagged_Images: 195:       WARNING:    [file path:Outputs/Iron/Images/Akhbar_Eghtesadi/6-Waraq_Siah.png]
[2024-04-22 15:50:32,114]: [Iron_Data_Processor.py]: Make_Tagged_Images: 195:       WARNING:    [file path:Outputs/Iron/Images/Akhbar_Eghtesadi/7-Tasme_Maftoul.png]
[2024-04-22 15:50:32,266]: [Iron_Data_Processor.py]: Make_Tagged_Images: 195:       WARNING:    [file path:Outputs/Iron/Images/Akhbar_Eghtesadi/8-Khamoot.png]
[2024-04-22 15:50:32,439]: [Iron_Data_Processor.py]: Make_Tagged_Images: 195:       WARNING:    [file path:Outputs/Iron/Images/Akhbar_Eghtesadi/9-Waraq_Galwanize.png]
[2024-04-22 15:50:33,026]: [Iron_Data_Processor.py]: Make_Cover_Page: 220:       INFO:    [Made Cover Pages]
[2024-04-22 15:50:33,026]: [Iron.py]: Run: 29:       INFO:    [Imagination Phase Completed]
[2024-04-22 15:50:37,536]: [Phone_Scraper.py]: Scrap: 59:       INFO:    [Data Scraped]
[2024-04-22 15:50:37,536]: [Phone_Scraper.py]: Scrap: 71:       INFO:    [Scraped Data Successfully]
[2024-04-22 15:50:37,536]: [Phone.py]: Run: 26:       INFO:    [Scraping Phase Complete]
[2024-04-22 15:50:37,536]: [Phone_Data_Processor.py]: data_reader: 33:       CRITICAL:    [Failed To Load Scraped Data File]
[2024-04-22 15:50:37,536]: [Phone_Data_Processor.py]: filter_list: 62:       INFO:    [Persian Phrases Are deleted]
[2024-04-22 15:50:37,536]: [Phone_Data_Processor.py]: reshape_list: 82:       ERROR:    [Failed To Reshape Data]
[2024-04-22 15:50:37,536]: [Phone_Data_Processor.py]: separate_brands: 119:       CRITICAL:    [Couldnt Separate Brands From Each Other]
[2024-04-22 15:50:37,536]: [Phone_Data_Processor.py]: delete_extra_spaces: 138:       INFO:    [Extra Spaces Are Deleted]
[2024-04-22 15:50:37,536]: [Phone_Data_Processor.py]: divide_and_make_images: 211:       INFO:    [Images Have Been Made]
[2024-04-22 15:50:37,536]: [Phone.py]: Run: 29:       INFO:    [Imagination Phase Complete]
[2024-04-22 15:50:37,536]: [Main.py]: <module>: 31:       INFO:    [Finished]
