[2024-04-22 15:55:21,359]: [Main.py]: <module>: 11:       INFO:    [Started]
[2024-04-22 15:55:22,927]: [Iron_Scraper.py]: Scrap: 35:       INFO:    [Data Scaraped Successfully]
[2024-04-22 15:55:23,122]: [Iron_Scraper.py]: Scrap: 73:       INFO:    [Scrapped Data Has No Problem]
[2024-04-22 15:55:23,122]: [Iron_Scraper.py]: Scrap: 86:       INFO:    [Data Saved Successfully]
[2024-04-22 15:55:23,122]: [Iron.py]: Run: 26:       INFO:    [Scraping Phase Completed]
[2024-04-22 15:55:23,122]: [Iron_Data_Processor.py]: Data_Reader: 69:       INFO:    [Data File Has Been Red Successfully]
[2024-04-22 15:55:23,122]: [Iron_Data_Processor.py]: Shaper: 86:       INFO:    [Data Shaped]
[2024-04-22 15:55:23,123]: [Iron_Data_Processor.py]: Process: 234:       INFO:    [Data Cleaned]
[2024-04-22 15:55:23,123]: [Iron_Data_Processor.py]: Make_Pages_Objects: 109:       INFO:    [Page Objects Has Been Made]
[2024-04-22 15:55:23,123]: [Iron_Data_Processor.py]: Make_Pages_Objects: 109:       INFO:    [Page Objects Has Been Made]
[2024-04-22 15:55:23,123]: [Iron_Data_Processor.py]: Load_Data: 126:       INFO:    [Data Has Been Load]
[2024-04-22 15:55:23,123]: [Iron_Data_Processor.py]: Load_Data: 126:       INFO:    [Data Has Been Load]
[2024-04-22 15:55:23,123]: [Iron_Data_Processor.py]: Load_positions: 149:       INFO:    [Positions Are Ready]
[2024-04-22 15:55:23,123]: [Iron_Data_Processor.py]: Load_positions: 149:       INFO:    [Positions Are Ready]
[2024-04-22 15:55:23,142]: [Iron_Data_Processor.py]: Make_Tagged_Images: 197:       WARNING:    [file path:Outputs/Iron/Images/(2024_04_22--15_55)/Currency_Gold/1-Tir_Ahan.png]
[2024-04-22 15:55:23,346]: [Iron_Data_Processor.py]: Make_Tagged_Images: 197:       WARNING:    [file path:Outputs/Iron/Images/(2024_04_22--15_55)/Currency_Gold/2-Milgerd.png]
[2024-04-22 15:55:23,510]: [Iron_Data_Processor.py]: Make_Tagged_Images: 197:       WARNING:    [file path:Outputs/Iron/Images/(2024_04_22--15_55)/Currency_Gold/3-Profill.png]
[2024-04-22 15:55:23,692]: [Iron_Data_Processor.py]: Make_Tagged_Images: 197:       WARNING:    [file path:Outputs/Iron/Images/(2024_04_22--15_55)/Currency_Gold/4-Nawdani.png]
[2024-04-22 15:55:23,899]: [Iron_Data_Processor.py]: Make_Tagged_Images: 197:       WARNING:    [file path:Outputs/Iron/Images/(2024_04_22--15_55)/Currency_Gold/5-Nabshi.png]
[2024-04-22 15:55:24,117]: [Iron_Data_Processor.py]: Make_Tagged_Images: 197:       WARNING:    [file path:Outputs/Iron/Images/(2024_04_22--15_55)/Currency_Gold/6-Waraq_Siah.png]
[2024-04-22 15:55:24,281]: [Iron_Data_Processor.py]: Make_Tagged_Images: 197:       WARNING:    [file path:Outputs/Iron/Images/(2024_04_22--15_55)/Currency_Gold/7-Tasme_Maftoul.png]
[2024-04-22 15:55:24,450]: [Iron_Data_Processor.py]: Make_Tagged_Images: 197:       WARNING:    [file path:Outputs/Iron/Images/(2024_04_22--15_55)/Currency_Gold/8-Khamoot.png]
[2024-04-22 15:55:24,674]: [Iron_Data_Processor.py]: Make_Tagged_Images: 197:       WARNING:    [file path:Outputs/Iron/Images/(2024_04_22--15_55)/Currency_Gold/9-Waraq_Galwanize.png]
[2024-04-22 15:55:24,860]: [Iron_Data_Processor.py]: Make_Tagged_Images: 197:       WARNING:    [file path:Outputs/Iron/Images/(2024_04_22--15_55)/Akhbar_Eghtesadi/1-Tir_Ahan.png]
[2024-04-22 15:55:25,045]: [Iron_Data_Processor.py]: Make_Tagged_Images: 197:       WARNING:    [file path:Outputs/Iron/Images/(2024_04_22--15_55)/Akhbar_Eghtesadi/2-Milgerd.png]
[2024-04-22 15:55:25,213]: [Iron_Data_Processor.py]: Make_Tagged_Images: 197:       WARNING:    [file path:Outputs/Iron/Images/(2024_04_22--15_55)/Akhbar_Eghtesadi/3-Profill.png]
[2024-04-22 15:55:25,367]: [Iron_Data_Processor.py]: Make_Tagged_Images: 197:       WARNING:    [file path:Outputs/Iron/Images/(2024_04_22--15_55)/Akhbar_Eghtesadi/4-Nawdani.png]
[2024-04-22 15:55:25,540]: [Iron_Data_Processor.py]: Make_Tagged_Images: 197:       WARNING:    [file path:Outputs/Iron/Images/(2024_04_22--15_55)/Akhbar_Eghtesadi/5-Nabshi.png]
[2024-04-22 15:55:25,720]: [Iron_Data_Processor.py]: Make_Tagged_Images: 197:       WARNING:    [file path:Outputs/Iron/Images/(2024_04_22--15_55)/Akhbar_Eghtesadi/6-Waraq_Siah.png]
[2024-04-22 15:55:25,891]: [Iron_Data_Processor.py]: Make_Tagged_Images: 197:       WARNING:    [file path:Outputs/Iron/Images/(2024_04_22--15_55)/Akhbar_Eghtesadi/7-Tasme_Maftoul.png]
[2024-04-22 15:55:26,047]: [Iron_Data_Processor.py]: Make_Tagged_Images: 197:       WARNING:    [file path:Outputs/Iron/Images/(2024_04_22--15_55)/Akhbar_Eghtesadi/8-Khamoot.png]
[2024-04-22 15:55:26,220]: [Iron_Data_Processor.py]: Make_Tagged_Images: 197:       WARNING:    [file path:Outputs/Iron/Images/(2024_04_22--15_55)/Akhbar_Eghtesadi/9-Waraq_Galwanize.png]
[2024-04-22 15:55:26,818]: [Iron_Data_Processor.py]: Make_Cover_Page: 222:       INFO:    [Made Cover Pages]
[2024-04-22 15:55:26,818]: [Iron.py]: Run: 29:       INFO:    [Imagination Phase Completed]
[2024-04-22 15:55:30,663]: [Phone_Scraper.py]: Scrap: 59:       INFO:    [Data Scraped]
[2024-04-22 15:55:30,664]: [Phone_Scraper.py]: Scrap: 71:       INFO:    [Scraped Data Successfully]
[2024-04-22 15:55:30,664]: [Phone.py]: Run: 26:       INFO:    [Scraping Phase Complete]
[2024-04-22 15:55:30,664]: [Phone_Data_Processor.py]: data_reader: 33:       CRITICAL:    [Failed To Load Scraped Data File]
[2024-04-22 15:55:30,664]: [Phone_Data_Processor.py]: filter_list: 62:       INFO:    [Persian Phrases Are deleted]
[2024-04-22 15:55:30,664]: [Phone_Data_Processor.py]: reshape_list: 82:       ERROR:    [Failed To Reshape Data]
[2024-04-22 15:55:30,664]: [Phone_Data_Processor.py]: separate_brands: 119:       CRITICAL:    [Couldnt Separate Brands From Each Other]
[2024-04-22 15:55:30,664]: [Phone_Data_Processor.py]: delete_extra_spaces: 138:       INFO:    [Extra Spaces Are Deleted]
[2024-04-22 15:55:30,664]: [Phone_Data_Processor.py]: divide_and_make_images: 211:       INFO:    [Images Have Been Made]
[2024-04-22 15:55:30,665]: [Phone.py]: Run: 29:       INFO:    [Imagination Phase Complete]
[2024-04-22 15:55:30,665]: [Main.py]: <module>: 31:       INFO:    [Finished]
