[2024-04-21 17:39:13,089]: [Main.py]: <module>: 11:       INFO:    [Started]
[2024-04-21 17:39:14,463]: [Iron_Scraper.py]: Scrap: 35:       INFO:    [Data Scaraped Successfully]
[2024-04-21 17:39:14,655]: [Iron_Scraper.py]: Scrap: 73:       INFO:    [Scrapped Data Has No Problem]
[2024-04-21 17:39:14,655]: [Iron_Scraper.py]: Scrap: 86:       INFO:    [Data Saved Successfully]
[2024-04-21 17:39:14,656]: [Iron.py]: Run: 26:       INFO:    [Scraping Phase Completed]
[2024-04-21 17:39:14,656]: [Iron_Data_Processor.py]: Data_Reader: 64:       INFO:    [Data File Has Been Red Successfully]
[2024-04-21 17:39:14,656]: [Iron_Data_Processor.py]: Shaper: 81:       INFO:    [Data Shaped]
[2024-04-21 17:39:14,656]: [Iron_Data_Processor.py]: Process: 229:       INFO:    [Data Cleaned]
[2024-04-21 17:39:14,656]: [Iron_Data_Processor.py]: Make_Pages_Objects: 104:       INFO:    [Page Objects Has Been Made]
[2024-04-21 17:39:14,656]: [Iron_Data_Processor.py]: Make_Pages_Objects: 104:       INFO:    [Page Objects Has Been Made]
[2024-04-21 17:39:14,656]: [Iron_Data_Processor.py]: Load_Data: 121:       INFO:    [Data Has Been Load]
[2024-04-21 17:39:14,656]: [Iron_Data_Processor.py]: Load_Data: 121:       INFO:    [Data Has Been Load]
[2024-04-21 17:39:14,657]: [Iron_Data_Processor.py]: Load_positions: 144:       INFO:    [Positions Are Ready]
[2024-04-21 17:39:14,657]: [Iron_Data_Processor.py]: Load_positions: 144:       INFO:    [Positions Are Ready]
[2024-04-21 17:39:14,677]: [Iron_Data_Processor.py]: Make_Tagged_Images: 192:       WARNING:    [file path:Outputs/Iron/Images/Currency_Gold/1-Tir_Ahan.png]
[2024-04-21 17:39:14,878]: [Iron_Data_Processor.py]: Make_Tagged_Images: 192:       WARNING:    [file path:Outputs/Iron/Images/Currency_Gold/2-Milgerd.png]
[2024-04-21 17:39:15,042]: [Iron_Data_Processor.py]: Make_Tagged_Images: 192:       WARNING:    [file path:Outputs/Iron/Images/Currency_Gold/3-Profill.png]
[2024-04-21 17:39:15,222]: [Iron_Data_Processor.py]: Make_Tagged_Images: 192:       WARNING:    [file path:Outputs/Iron/Images/Currency_Gold/4-Nawdani.png]
[2024-04-21 17:39:15,426]: [Iron_Data_Processor.py]: Make_Tagged_Images: 192:       WARNING:    [file path:Outputs/Iron/Images/Currency_Gold/5-Nabshi.png]
