[2024-04-22 15:57:42,792]: [Main.py]: <module>: 11:       INFO:    [Started]
[2024-04-22 15:57:44,337]: [Iron_Scraper.py]: Scrap: 35:       INFO:    [Data Scaraped Successfully]
[2024-04-22 15:57:44,531]: [Iron_Scraper.py]: Scrap: 73:       INFO:    [Scrapped Data Has No Problem]
[2024-04-22 15:57:44,532]: [Iron_Scraper.py]: Scrap: 86:       INFO:    [Data Saved Successfully]
[2024-04-22 15:57:44,532]: [Iron.py]: Run: 26:       INFO:    [Scraping Phase Completed]
[2024-04-22 15:57:44,532]: [Iron_Data_Processor.py]: Data_Reader: 69:       INFO:    [Data File Has Been Red Successfully]
[2024-04-22 15:57:44,532]: [Iron_Data_Processor.py]: Shaper: 86:       INFO:    [Data Shaped]
[2024-04-22 15:57:44,532]: [Iron_Data_Processor.py]: Process: 234:       INFO:    [Data Cleaned]
[2024-04-22 15:57:44,533]: [Iron_Data_Processor.py]: Make_Pages_Objects: 109:       INFO:    [Page Objects Has Been Made]
[2024-04-22 15:57:44,533]: [Iron_Data_Processor.py]: Make_Pages_Objects: 109:       INFO:    [Page Objects Has Been Made]
[2024-04-22 15:57:44,533]: [Iron_Data_Processor.py]: Load_Data: 126:       INFO:    [Data Has Been Load]
[2024-04-22 15:57:44,533]: [Iron_Data_Processor.py]: Load_Data: 126:       INFO:    [Data Has Been Load]
[2024-04-22 15:57:44,533]: [Iron_Data_Processor.py]: Load_positions: 149:       INFO:    [Positions Are Ready]
[2024-04-22 15:57:44,533]: [Iron_Data_Processor.py]: Load_positions: 149:       INFO:    [Positions Are Ready]
[2024-04-22 15:57:44,554]: [Iron_Data_Processor.py]: Make_Tagged_Images: 197:       WARNING:    [file path:Outputs/Iron/Images/(2024_04_22--15_57)/Currency_Gold/1-Tir_Ahan.png]
[2024-04-22 15:57:44,757]: [Iron_Data_Processor.py]: Make_Tagged_Images: 197:       WARNING:    [file path:Outputs/Iron/Images/(2024_04_22--15_57)/Currency_Gold/2-Milgerd.png]
[2024-04-22 15:57:44,921]: [Iron_Data_Processor.py]: Make_Tagged_Images: 197:       WARNING:    [file path:Outputs/Iron/Images/(2024_04_22--15_57)/Currency_Gold/3-Profill.png]
[2024-04-22 15:57:45,101]: [Iron_Data_Processor.py]: Make_Tagged_Images: 197:       WARNING:    [file path:Outputs/Iron/Images/(2024_04_22--15_57)/Currency_Gold/4-Nawdani.png]
[2024-04-22 15:57:45,307]: [Iron_Data_Processor.py]: Make_Tagged_Images: 197:       WARNING:    [file path:Outputs/Iron/Images/(2024_04_22--15_57)/Currency_Gold/5-Nabshi.png]
[2024-04-22 15:57:45,525]: [Iron_Data_Processor.py]: Make_Tagged_Images: 197:       WARNING:    [file path:Outputs/Iron/Images/(2024_04_22--15_57)/Currency_Gold/6-Waraq_Siah.png]
[2024-04-22 15:57:45,695]: [Iron_Data_Processor.py]: Make_Tagged_Images: 197:       WARNING:    [file path:Outputs/Iron/Images/(2024_04_22--15_57)/Currency_Gold/7-Tasme_Maftoul.png]
[2024-04-22 15:57:45,864]: [Iron_Data_Processor.py]: Make_Tagged_Images: 197:       WARNING:    [file path:Outputs/Iron/Images/(2024_04_22--15_57)/Currency_Gold/8-Khamoot.png]
[2024-04-22 15:57:46,088]: [Iron_Data_Processor.py]: Make_Tagged_Images: 197:       WARNING:    [file path:Outputs/Iron/Images/(2024_04_22--15_57)/Currency_Gold/9-Waraq_Galwanize.png]
[2024-04-22 15:57:46,274]: [Iron_Data_Processor.py]: Make_Tagged_Images: 197:       WARNING:    [file path:Outputs/Iron/Images/(2024_04_22--15_57)/Akhbar_Eghtesadi/1-Tir_Ahan.png]
